"","NUMBER OF FOLDS","TIME"
"1",1,2743.1875
"2",1,2294.203125
"3",1,2242.34375
"4",1,2584.546875
"5",1,2526.5625
"6",1,2813.3125
"7",1,2311.0625
"8",1,2866.828125
"9",1,2299.65625
"10",1,2373.375
"11",2,3158.765625
"12",2,2613.9375
"13",2,2903.3125
"14",2,2987
"15",2,3199.4375
"16",2,3099.421875
"17",2,3208.875
"18",2,3389.671875
"19",2,2997.5
"20",2,2974.75
"21",3,3441.734375
"22",3,3210.171875
"23",3,3617.8125
"24",3,3799.859375
"25",3,4045.375
"26",3,4500.6875
"27",3,3651.171875
"28",3,3896.890625
"29",3,3586.734375
"30",3,2986.71875
"31",4,3856.40625
"32",4,3797.1875
"33",4,4534.734375
"34",4,5075.203125
"35",4,4703.0625
"36",4,5040.078125
"37",4,3936.8125
"38",4,4191.921875
"39",4,4370.921875
"40",4,3966.953125
"41",5,4452.90625
"42",5,5329.484375
"43",5,5728.90625
"44",5,5551.203125
"45",5,4727.109375
"46",5,4617.234375
"47",5,4276.140625
"48",5,4536.15625
"49",5,4025.859375
"50",5,4949.734375
"51",6,5260.171875
"52",6,6237.203125
"53",6,6609.140625
"54",6,5614.09375
"55",6,5093.09375
"56",6,4937.421875
"57",6,5399.765625
"58",6,4898.265625
"59",6,4531.046875
"60",6,4205
"61",7,5730.671875
"62",7,5859.6875
"63",7,6348.71875
"64",7,6166.453125
"65",7,5611.796875
"66",7,5101.0625
"67",7,4540.71875
"68",7,4771.453125
"69",7,5463.921875
"70",7,5524.390625
"71",8,6159.015625
"72",8,7256.1875
"73",8,6638.96875
"74",8,5933.3125
"75",8,6877.421875
"76",8,6331.125
"77",8,6681.78125
"78",8,6746.921875
"79",8,6097.46875
"80",8,6394.265625
"81",9,6323.703125
"82",9,6326.375
"83",9,6712.6875
"84",9,6754.90625
"85",9,6747.953125
"86",9,6807.1875
"87",9,7048.703125
"88",9,6421.03125
"89",9,6601.828125
"90",9,6076.65625
"91",10,7799.921875
"92",10,7232.890625
"93",10,8093.6875
"94",10,6170.078125
"95",10,6572.90625
"96",10,6636.453125
"97",10,7448.640625
"98",10,6652.34375
"99",10,7372.484375
"100",10,6756.453125